101.pcm    已是最大音量
102.pcm    已是最小音量
103.pcm    我在哦
104.pcm    你说
105.pcm    有什么可以帮到你
106.pcm    有需要再叫我
107.pcm    欢迎使用小安派桌面助手,你可以使用小安小安唤醒我
108.pcm    正在为您打开灯光
109.pcm    正在为您关闭灯光
110.pcm    好的，稍等一下
111.pcm    天气查询成功
112.pcm    好的，正在连接
113.pcm    服务器连接成功
114.pcm    网络连接成功
115.pcm    正在打开
116.pcm    蓝牙未连接
117.pcm    连接错误
118.pcm    连接失败
119.pcm    查询失败
120.pcm    发送失败
121.pcm    控制失败
122.pcm    打开失败
123.pcm    开始搜索网络，请稍后
124.pcm    网络搜索完毕
