fa=0.01,thresh=4.34
fa=0.02,thresh=3.51
fa=0.04,thresh=2.49
fa=0.05,thresh=2.22
fa=0.1,thresh=1.52
fa=0.2,thresh=0.81
fa=0.3,thresh=0.2
fa=0.4,thresh=-0.05
fa=0.5,thresh=-0.26
fa=0.8,thresh=-0.78
